NOC,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Year,Value,Flag Codes
KOR,POP,TOT,AGRWTH,A,2013,0.456256316,
KOR,POP,TOT,AGRWTH,A,2014,0.63012686,
KOR,POP,TOT,AGRWTH,A,2015,0.52868111,
KOR,POP,TOT,AGRWTH,A,2016,0.397640323,
KOR,POP,TOT,AGRWTH,A,2017,0.281363103,
KOR,POP,TOT,AGRWTH,A,2018,0.476465917,
KOR,POP,TOT,AGRWTH,A,2019,0.198550058,
KOR,POP,TOT,AGRWTH,A,2020,0.138236795,
KOR,POP,MEN,MLN_PER,A,1950,9.568311,
KOR,POP,MEN,MLN_PER,A,1951,9.676083,
KOR,POP,MEN,MLN_PER,A,1952,9.855342,
KOR,POP,MEN,MLN_PER,A,1953,10.098134,
KOR,POP,MEN,MLN_PER,A,1954,10.395719,
KOR,POP,MEN,MLN_PER,A,1955,10.738603,
KOR,POP,MEN,MLN_PER,A,1956,11.116414,
KOR,POP,MEN,MLN_PER,A,1957,11.518008,
KOR,POP,MEN,MLN_PER,A,1958,11.931771,
KOR,POP,MEN,MLN_PER,A,1959,12.346136,
KOR,POP,MEN,MLN_PER,A,1960,12.550691,
KOR,POP,MEN,MLN_PER,A,1961,12.936583,
KOR,POP,MEN,MLN_PER,A,1962,13.320983,
KOR,POP,MEN,MLN_PER,A,1963,13.70812,
KOR,POP,MEN,MLN_PER,A,1964,14.08195,
KOR,POP,MEN,MLN_PER,A,1965,14.452831,
KOR,POP,MEN,MLN_PER,A,1966,14.829861,
KOR,POP,MEN,MLN_PER,A,1967,15.205393,
KOR,POP,MEN,MLN_PER,A,1968,15.576098,
KOR,POP,MEN,MLN_PER,A,1969,15.940965,
KOR,POP,MEN,MLN_PER,A,1970,16.308607,
KOR,POP,MEN,MLN_PER,A,1971,16.648884,
KOR,POP,MEN,MLN_PER,A,1972,16.955438,
KOR,POP,MEN,MLN_PER,A,1973,17.234877,
KOR,POP,MEN,MLN_PER,A,1974,17.514223,
KOR,POP,MEN,MLN_PER,A,1975,17.765828,
KOR,POP,MEN,MLN_PER,A,1976,18.058503,
KOR,POP,MEN,MLN_PER,A,1977,18.349416,
KOR,POP,MEN,MLN_PER,A,1978,18.637254,
KOR,POP,MEN,MLN_PER,A,1979,18.929361,
KOR,POP,MEN,MLN_PER,A,1980,19.235736,
KOR,POP,MEN,MLN_PER,A,1981,19.53568,
KOR,POP,MEN,MLN_PER,A,1982,19.837392,
KOR,POP,MEN,MLN_PER,A,1983,20.12912,
KOR,POP,MEN,MLN_PER,A,1984,20.375175,
KOR,POP,MEN,MLN_PER,A,1985,20.5756,
KOR,POP,MEN,MLN_PER,A,1986,20.771997,
KOR,POP,MEN,MLN_PER,A,1987,20.95998,
KOR,POP,MEN,MLN_PER,A,1988,21.155226,
KOR,POP,MEN,MLN_PER,A,1989,21.357389,
KOR,POP,MEN,MLN_PER,A,1990,21.568181,
KOR,POP,MEN,MLN_PER,A,1991,21.783914,
KOR,POP,MEN,MLN_PER,A,1992,22.013655,
KOR,POP,MEN,MLN_PER,A,1993,22.242554,
KOR,POP,MEN,MLN_PER,A,1994,22.472496,
KOR,POP,MEN,MLN_PER,A,1995,22.705329,
KOR,POP,MEN,MLN_PER,A,1996,22.924512,
KOR,POP,MEN,MLN_PER,A,1997,23.148092,
KOR,POP,MEN,MLN_PER,A,1998,23.295727,
KOR,POP,MEN,MLN_PER,A,1999,23.457837,
KOR,POP,MEN,MLN_PER,A,2000,23.666769,
KOR,POP,MEN,MLN_PER,A,2001,23.854971,
KOR,POP,MEN,MLN_PER,A,2002,23.991377,
KOR,POP,MEN,MLN_PER,A,2003,24.120872,
KOR,POP,MEN,MLN_PER,A,2004,24.21074,
KOR,POP,MEN,MLN_PER,A,2005,24.243234,
KOR,POP,MEN,MLN_PER,A,2006,24.369561,
KOR,POP,MEN,MLN_PER,A,2007,24.49119,
KOR,POP,MEN,MLN_PER,A,2008,24.671648,
KOR,POP,MEN,MLN_PER,A,2009,24.774341,
KOR,POP,MEN,MLN_PER,A,2010,24.881114,
KOR,POP,MEN,MLN_PER,A,2011,25.069867,
KOR,POP,MEN,MLN_PER,A,2012,25.18738,
KOR,POP,MEN,MLN_PER,A,2013,25.285319,
KOR,POP,MEN,MLN_PER,A,2014,25.445077,
KOR,POP,MEN,MLN_PER,A,2015,25.585894,
KOR,POP,MEN,MLN_PER,A,2016,25.670949,
KOR,POP,MEN,MLN_PER,A,2017,25.736793,
KOR,POP,MEN,MLN_PER,A,2018,25.863502,
KOR,POP,MEN,MLN_PER,A,2019,25.913295,
KOR,POP,MEN,MLN_PER,A,2020,25.945737,
KOR,POP,TOT,MLN_PER,A,1950,19.211387,
KOR,POP,TOT,MLN_PER,A,1951,19.45264,
KOR,POP,TOT,MLN_PER,A,1952,19.817775,
KOR,POP,TOT,MLN_PER,A,1953,20.2932,
KOR,POP,TOT,MLN_PER,A,1954,20.864104,
KOR,POP,TOT,MLN_PER,A,1955,21.514564,
KOR,POP,TOT,MLN_PER,A,1956,22.227339,
KOR,POP,TOT,MLN_PER,A,1957,22.98401,
KOR,POP,TOT,MLN_PER,A,1958,23.765501,
KOR,POP,TOT,MLN_PER,A,1959,24.552846,
KOR,POP,TOT,MLN_PER,A,1960,25.012374,
KOR,POP,TOT,MLN_PER,A,1961,25.765673,
KOR,POP,TOT,MLN_PER,A,1962,26.51303,
KOR,POP,TOT,MLN_PER,A,1963,27.261747,
KOR,POP,TOT,MLN_PER,A,1964,27.984155,
KOR,POP,TOT,MLN_PER,A,1965,28.704674,
KOR,POP,TOT,MLN_PER,A,1966,29.435571,
KOR,POP,TOT,MLN_PER,A,1967,30.130983,
KOR,POP,TOT,MLN_PER,A,1968,30.838302,
KOR,POP,TOT,MLN_PER,A,1969,31.544266,
KOR,POP,TOT,MLN_PER,A,1970,32.240827,
KOR,POP,TOT,MLN_PER,A,1971,32.882704,
KOR,POP,TOT,MLN_PER,A,1972,33.505406,
KOR,POP,TOT,MLN_PER,A,1973,34.103149,
KOR,POP,TOT,MLN_PER,A,1974,34.692266,
KOR,POP,TOT,MLN_PER,A,1975,35.280725,
KOR,POP,TOT,MLN_PER,A,1976,35.848523,
KOR,POP,TOT,MLN_PER,A,1977,36.411795,
KOR,POP,TOT,MLN_PER,A,1978,36.969185,
KOR,POP,TOT,MLN_PER,A,1979,37.534236,
KOR,POP,TOT,MLN_PER,A,1980,38.123775,
KOR,POP,TOT,MLN_PER,A,1981,38.723248,
KOR,POP,TOT,MLN_PER,A,1982,39.326352,
KOR,POP,TOT,MLN_PER,A,1983,39.910403,
KOR,POP,TOT,MLN_PER,A,1984,40.405956,
KOR,POP,TOT,MLN_PER,A,1985,40.805744,
KOR,POP,TOT,MLN_PER,A,1986,41.213674,
KOR,POP,TOT,MLN_PER,A,1987,41.62169,
KOR,POP,TOT,MLN_PER,A,1988,42.031247,
KOR,POP,TOT,MLN_PER,A,1989,42.449038,
KOR,POP,TOT,MLN_PER,A,1990,42.869283,
KOR,POP,TOT,MLN_PER,A,1991,43.295704,
KOR,POP,TOT,MLN_PER,A,1992,43.747962,
KOR,POP,TOT,MLN_PER,A,1993,44.194628,
KOR,POP,TOT,MLN_PER,A,1994,44.64154,
KOR,POP,TOT,MLN_PER,A,1995,45.092991,
KOR,POP,TOT,MLN_PER,A,1996,45.524681,
KOR,POP,TOT,MLN_PER,A,1997,45.95358,
KOR,POP,TOT,MLN_PER,A,1998,46.286503,
KOR,POP,TOT,MLN_PER,A,1999,46.616677,
KOR,POP,TOT,MLN_PER,A,2000,47.008111,
KOR,POP,TOT,MLN_PER,A,2001,47.370164,
KOR,POP,TOT,MLN_PER,A,2002,47.644736,
KOR,POP,TOT,MLN_PER,A,2003,47.89233,
KOR,POP,TOT,MLN_PER,A,2004,48.082519,
KOR,POP,TOT,MLN_PER,A,2005,48.184561,
KOR,POP,TOT,MLN_PER,A,2006,48.438292,
KOR,POP,TOT,MLN_PER,A,2007,48.683638,
KOR,POP,TOT,MLN_PER,A,2008,49.054708,
KOR,POP,TOT,MLN_PER,A,2009,49.307835,
KOR,POP,TOT,MLN_PER,A,2010,49.554112,
KOR,POP,TOT,MLN_PER,A,2011,49.936638,
KOR,POP,TOT,MLN_PER,A,2012,50.199853,
KOR,POP,TOT,MLN_PER,A,2013,50.428893,
KOR,POP,TOT,MLN_PER,A,2014,50.746659,
KOR,POP,TOT,MLN_PER,A,2015,51.014947,
KOR,POP,TOT,MLN_PER,A,2016,51.217803,
KOR,POP,TOT,MLN_PER,A,2017,51.361911,
KOR,POP,TOT,MLN_PER,A,2018,51.606633,
KOR,POP,TOT,MLN_PER,A,2019,51.709098,
KOR,POP,TOT,MLN_PER,A,2020,51.780579,
KOR,POP,WOMEN,MLN_PER,A,1950,9643.076,
KOR,POP,WOMEN,MLN_PER,A,1951,9776.557,
KOR,POP,WOMEN,MLN_PER,A,1952,9962.433,
KOR,POP,WOMEN,MLN_PER,A,1953,10195.066,
KOR,POP,WOMEN,MLN_PER,A,1954,10468.385,
KOR,POP,WOMEN,MLN_PER,A,1955,10775.961,
KOR,POP,WOMEN,MLN_PER,A,1956,11110.925,
KOR,POP,WOMEN,MLN_PER,A,1957,11466.002,
KOR,POP,WOMEN,MLN_PER,A,1958,11833.73,
KOR,POP,WOMEN,MLN_PER,A,1959,12206.71,
KOR,POP,WOMEN,MLN_PER,A,1960,12461.683,
KOR,POP,WOMEN,MLN_PER,A,1961,12829.09,
KOR,POP,WOMEN,MLN_PER,A,1962,13192.047,
KOR,POP,WOMEN,MLN_PER,A,1963,13553.627,
KOR,POP,WOMEN,MLN_PER,A,1964,13902.205,
KOR,POP,WOMEN,MLN_PER,A,1965,14251.843,
KOR,POP,WOMEN,MLN_PER,A,1966,14605.71,
KOR,POP,WOMEN,MLN_PER,A,1967,14925.59,
KOR,POP,WOMEN,MLN_PER,A,1968,15262.204,
KOR,POP,WOMEN,MLN_PER,A,1969,15603.301,
KOR,POP,WOMEN,MLN_PER,A,1970,15932.22,
KOR,POP,WOMEN,MLN_PER,A,1971,16233.82,
KOR,POP,WOMEN,MLN_PER,A,1972,16549.968,
KOR,POP,WOMEN,MLN_PER,A,1973,16868.272,
KOR,POP,WOMEN,MLN_PER,A,1974,17178.043,
KOR,POP,WOMEN,MLN_PER,A,1975,17514.897,
KOR,POP,WOMEN,MLN_PER,A,1976,17790.02,
KOR,POP,WOMEN,MLN_PER,A,1977,18062.379,
KOR,POP,WOMEN,MLN_PER,A,1978,18331.931,
KOR,POP,WOMEN,MLN_PER,A,1979,18604.875,
KOR,POP,WOMEN,MLN_PER,A,1980,18888.039,
KOR,POP,WOMEN,MLN_PER,A,1981,19187.568,
KOR,POP,WOMEN,MLN_PER,A,1982,19488.96,
KOR,POP,WOMEN,MLN_PER,A,1983,19781.283,
KOR,POP,WOMEN,MLN_PER,A,1984,20030.781,
KOR,POP,WOMEN,MLN_PER,A,1985,20230.144,
KOR,POP,WOMEN,MLN_PER,A,1986,20441.677,
KOR,POP,WOMEN,MLN_PER,A,1987,20661.71,
KOR,POP,WOMEN,MLN_PER,A,1988,20876.021,
KOR,POP,WOMEN,MLN_PER,A,1989,21091.649,
KOR,POP,WOMEN,MLN_PER,A,1990,21301.102,
KOR,POP,WOMEN,MLN_PER,A,1991,21511.79,
KOR,POP,WOMEN,MLN_PER,A,1992,21734.307,
KOR,POP,WOMEN,MLN_PER,A,1993,21952.074,
KOR,POP,WOMEN,MLN_PER,A,1994,22169.044,
KOR,POP,WOMEN,MLN_PER,A,1995,22387.662,
KOR,POP,WOMEN,MLN_PER,A,1996,22600.169,
KOR,POP,WOMEN,MLN_PER,A,1997,22805.488,
KOR,POP,WOMEN,MLN_PER,A,1998,22990.776,
KOR,POP,WOMEN,MLN_PER,A,1999,23158.84,
KOR,POP,WOMEN,MLN_PER,A,2000,23341.342,
KOR,POP,WOMEN,MLN_PER,A,2001,23515.193,
KOR,POP,WOMEN,MLN_PER,A,2002,23653.359,
KOR,POP,WOMEN,MLN_PER,A,2003,23771.458,
KOR,POP,WOMEN,MLN_PER,A,2004,23871.779,
KOR,POP,WOMEN,MLN_PER,A,2005,23941.327,
KOR,POP,WOMEN,MLN_PER,A,2006,24068.731,
KOR,POP,WOMEN,MLN_PER,A,2007,24192.448,
KOR,POP,WOMEN,MLN_PER,A,2008,24383.06,
KOR,POP,WOMEN,MLN_PER,A,2009,24533.494,
KOR,POP,WOMEN,MLN_PER,A,2010,24672.998,
KOR,POP,WOMEN,MLN_PER,A,2011,24866.771,
KOR,POP,WOMEN,MLN_PER,A,2012,25012.473,
KOR,POP,WOMEN,MLN_PER,A,2013,25143.574,
KOR,POP,WOMEN,MLN_PER,A,2014,25301.582,
KOR,POP,WOMEN,MLN_PER,A,2015,25429.053,
KOR,POP,WOMEN,MLN_PER,A,2016,25546.854,
KOR,POP,WOMEN,MLN_PER,A,2017,25625.118,
KOR,POP,WOMEN,MLN_PER,A,2018,25743.131,
KOR,POP,WOMEN,MLN_PER,A,2019,25795.803,
KOR,POP,WOMEN,MLN_PER,A,2020,25834.842,
LUX,POP,TOT,AGRWTH,A,1951,0.536477424,
LUX,POP,TOT,AGRWTH,A,1952,0.640808084,
LUX,POP,TOT,AGRWTH,A,1953,0.670116861,
LUX,POP,TOT,AGRWTH,A,1954,0.644097815,
LUX,POP,TOT,AGRWTH,A,1955,0.597464483,
LUX,POP,TOT,AGRWTH,A,1956,0.549036565,
LUX,POP,TOT,AGRWTH,A,1957,0.529097081,
LUX,POP,TOT,AGRWTH,A,1958,0.549646424,
LUX,POP,TOT,AGRWTH,A,1959,0.632054613,
LUX,POP,TOT,AGRWTH,A,1960,0.757801415,
LUX,POP,TOT,AGRWTH,A,1961,0.906909102,
LUX,POP,TOT,AGRWTH,A,1962,1.027287218,
LUX,POP,TOT,AGRWTH,A,1963,1.069538726,
LUX,POP,TOT,AGRWTH,A,1964,0.996825338,
LUX,POP,TOT,AGRWTH,A,1965,0.855327468,
LUX,POP,TOT,AGRWTH,A,1966,0.685425248,
LUX,POP,TOT,AGRWTH,A,1967,0.544787816,
LUX,POP,TOT,AGRWTH,A,1968,0.477210577,
LUX,POP,TOT,AGRWTH,A,1969,0.517823059,
LUX,POP,TOT,AGRWTH,A,1970,0.475755996,
LUX,POP,TOT,AGRWTH,A,1971,0.955556735,
LUX,POP,TOT,AGRWTH,A,1972,1.22220113,
LUX,POP,TOT,AGRWTH,A,1973,1.110790537,
LUX,POP,TOT,AGRWTH,A,1974,1.312312741,
LUX,POP,TOT,AGRWTH,A,1975,1.099003236,
LUX,POP,TOT,AGRWTH,A,1976,0.495053642,
LUX,POP,TOT,AGRWTH,A,1977,0.174092391,
LUX,POP,TOT,AGRWTH,A,1978,0.180984957,
LUX,POP,TOT,AGRWTH,A,1979,0.233695202,
LUX,POP,TOT,AGRWTH,A,1980,0.357166479,
LUX,POP,TOT,AGRWTH,A,1981,0.293009513,
LUX,POP,TOT,AGRWTH,A,1982,0.083785345,
LUX,POP,TOT,AGRWTH,A,1983,0.026263593,
LUX,POP,TOT,AGRWTH,A,1984,0.102838732,
LUX,POP,TOT,AGRWTH,A,1985,0.193990661,
LUX,POP,TOT,AGRWTH,A,1986,0.449132414,
LUX,POP,TOT,AGRWTH,A,1987,0.650732719,
LUX,POP,TOT,AGRWTH,A,1988,0.727981853,
LUX,POP,TOT,AGRWTH,A,1989,0.976034275,
LUX,POP,TOT,AGRWTH,A,1990,1.262811758,
LUX,POP,TOT,AGRWTH,A,1991,1.346577384,
LUX,POP,TOT,AGRWTH,A,1992,1.336437562,
LUX,POP,TOT,AGRWTH,A,1993,1.354001188,
LUX,POP,TOT,AGRWTH,A,1994,1.368618877,
LUX,POP,TOT,AGRWTH,A,1995,1.415662127,
LUX,POP,TOT,AGRWTH,A,1996,1.371183848,
LUX,POP,TOT,AGRWTH,A,1997,1.258244252,
LUX,POP,TOT,AGRWTH,A,1998,1.25381461,
LUX,POP,TOT,AGRWTH,A,1999,1.360022039,
LUX,POP,TOT,AGRWTH,A,2000,1.353853302,
LUX,POP,TOT,AGRWTH,A,2001,1.196187053,
LUX,POP,TOT,AGRWTH,A,2002,1.051816218,
LUX,POP,TOT,AGRWTH,A,2003,1.223759767,
LUX,POP,TOT,AGRWTH,A,2004,1.433044156,
LUX,POP,TOT,AGRWTH,A,2005,1.539845186,
LUX,POP,TOT,AGRWTH,A,2006,1.610011351,
LUX,POP,TOT,AGRWTH,A,2007,1.555303074,
LUX,POP,TOT,AGRWTH,A,2008,1.803155053,
LUX,POP,TOT,AGRWTH,A,2009,1.869652326,
LUX,POP,TOT,AGRWTH,A,2010,1.842168174,
LUX,POP,TOT,AGRWTH,A,2011,2.248334658,
LUX,POP,TOT,AGRWTH,A,2012,2.430978237,
LUX,POP,TOT,AGRWTH,A,2013,2.33655773,
LUX,POP,TOT,AGRWTH,A,2014,2.385903953,
LUX,POP,TOT,AGRWTH,A,2015,2.387646004,
LUX,POP,TOT,AGRWTH,A,2016,2.432211796,
LUX,POP,TOT,AGRWTH,A,2017,2.207181653,
LUX,POP,TOT,AGRWTH,A,2018,1.947388809,
LUX,POP,TOT,AGRWTH,A,2019,1.982564356,
LUX,POP,TOT,AGRWTH,A,2020,1.679024134,
LUX,POP,MEN,MLN_PER,A,1950,0.148003,
LUX,POP,MEN,MLN_PER,A,1951,0.149304,
LUX,POP,MEN,MLN_PER,A,1952,0.150553,
LUX,POP,MEN,MLN_PER,A,1953,0.151651,
LUX,POP,MEN,MLN_PER,A,1954,0.152508,
LUX,POP,MEN,MLN_PER,A,1955,0.153118,
LUX,POP,MEN,MLN_PER,A,1956,0.153536,
LUX,POP,MEN,MLN_PER,A,1957,0.153829,
LUX,POP,MEN,MLN_PER,A,1958,0.154129,
LUX,POP,MEN,MLN_PER,A,1959,0.154601,
LUX,POP,MEN,MLN_PER,A,1960,0.155371,
LUX,POP,MEN,MLN_PER,A,1961,0.156509,
LUX,POP,MEN,MLN_PER,A,1962,0.157982,
LUX,POP,MEN,MLN_PER,A,1963,0.159619,
LUX,POP,MEN,MLN_PER,A,1964,0.161169,
LUX,POP,MEN,MLN_PER,A,1965,0.162467,
LUX,POP,MEN,MLN_PER,A,1966,0.163433,
LUX,POP,MEN,MLN_PER,A,1967,0.164148,
LUX,POP,MEN,MLN_PER,A,1968,0.164747,
LUX,POP,MEN,MLN_PER,A,1969,0.165464,
LUX,POP,MEN,MLN_PER,A,1970,0.166375,
LUX,POP,MEN,MLN_PER,A,1971,0.168158,
LUX,POP,MEN,MLN_PER,A,1972,0.170651,
LUX,POP,MEN,MLN_PER,A,1973,0.172869,
LUX,POP,MEN,MLN_PER,A,1974,0.175716,
LUX,POP,MEN,MLN_PER,A,1975,0.178091,
LUX,POP,MEN,MLN_PER,A,1976,0.178762,
LUX,POP,MEN,MLN_PER,A,1977,0.178528,
LUX,POP,MEN,MLN_PER,A,1978,0.178402,
LUX,POP,MEN,MLN_PER,A,1979,0.178155,
LUX,POP,MEN,MLN_PER,A,1980,0.178115,
LUX,POP,MEN,MLN_PER,A,1981,0.178144,
LUX,POP,MEN,MLN_PER,A,1982,0.177913,
LUX,POP,MEN,MLN_PER,A,1983,0.177845,
LUX,POP,MEN,MLN_PER,A,1984,0.178009,
LUX,POP,MEN,MLN_PER,A,1985,0.178306,
LUX,POP,MEN,MLN_PER,A,1986,0.179105,
LUX,POP,MEN,MLN_PER,A,1987,0.180405,
LUX,POP,MEN,MLN_PER,A,1988,0.181873,
LUX,POP,MEN,MLN_PER,A,1989,0.183987,
LUX,POP,MEN,MLN_PER,A,1990,0.186849,
LUX,POP,MEN,MLN_PER,A,1991,0.189769,
LUX,POP,MEN,MLN_PER,A,1992,0.192532,
LUX,POP,MEN,MLN_PER,A,1993,0.195216,
LUX,POP,MEN,MLN_PER,A,1994,0.19786,
LUX,POP,MEN,MLN_PER,A,1995,0.200584,
LUX,POP,MEN,MLN_PER,A,1996,0.203351,
LUX,POP,MEN,MLN_PER,A,1997,0.206023,
LUX,POP,MEN,MLN_PER,A,1998,0.20885,
LUX,POP,MEN,MLN_PER,A,1999,0.211978,
LUX,POP,MEN,MLN_PER,A,2000,0.214955,
LUX,POP,MEN,MLN_PER,A,2001,0.217561,
LUX,POP,MEN,MLN_PER,A,2002,0.219913,
LUX,POP,MEN,MLN_PER,A,2003,0.222856,
LUX,POP,MEN,MLN_PER,A,2004,0.226432,
LUX,POP,MEN,MLN_PER,A,2005,0.230127,
LUX,POP,MEN,MLN_PER,A,2006,0.233946,
LUX,POP,MEN,MLN_PER,A,2007,0.237701,
LUX,POP,MEN,MLN_PER,A,2008,0.242221,
LUX,POP,MEN,MLN_PER,A,2009,0.247122,
LUX,POP,MEN,MLN_PER,A,2010,0.252014,
LUX,POP,MEN,MLN_PER,A,2011,0.258222,
LUX,POP,MEN,MLN_PER,A,2012,0.265121,
LUX,POP,MEN,MLN_PER,A,2013,0.271763,
LUX,POP,MEN,MLN_PER,A,2014,0.278546,
LUX,POP,MEN,MLN_PER,A,2015,0.285584,
LUX,POP,MEN,MLN_PER,A,2016,0.292915,
LUX,POP,MEN,MLN_PER,A,2017,0.299613,
LUX,POP,MEN,MLN_PER,A,2018,0.305652,
LUX,POP,MEN,MLN_PER,A,2019,0.311845,
LUX,POP,MEN,MLN_PER,A,2020,0.317206,
LUX,POP,TOT,MLN_PER,A,1950,0.296005,
LUX,POP,TOT,MLN_PER,A,1951,0.297593,
LUX,POP,TOT,MLN_PER,A,1952,0.2995,
LUX,POP,TOT,MLN_PER,A,1953,0.301507,
LUX,POP,TOT,MLN_PER,A,1954,0.303449,
LUX,POP,TOT,MLN_PER,A,1955,0.305262,
LUX,POP,TOT,MLN_PER,A,1956,0.306938,
LUX,POP,TOT,MLN_PER,A,1957,0.308562,
LUX,POP,TOT,MLN_PER,A,1958,0.310258,
LUX,POP,TOT,MLN_PER,A,1959,0.312219,
LUX,POP,TOT,MLN_PER,A,1960,0.314585,
LUX,POP,TOT,MLN_PER,A,1961,0.317438,
LUX,POP,TOT,MLN_PER,A,1962,0.320699,
LUX,POP,TOT,MLN_PER,A,1963,0.324129,
LUX,POP,TOT,MLN_PER,A,1964,0.32736,
LUX,POP,TOT,MLN_PER,A,1965,0.33016,
LUX,POP,TOT,MLN_PER,A,1966,0.332423,
LUX,POP,TOT,MLN_PER,A,1967,0.334234,
LUX,POP,TOT,MLN_PER,A,1968,0.335829,
LUX,POP,TOT,MLN_PER,A,1969,0.337568,
LUX,POP,TOT,MLN_PER,A,1970,0.339174,
LUX,POP,TOT,MLN_PER,A,1971,0.342415,
LUX,POP,TOT,MLN_PER,A,1972,0.3466,
LUX,POP,TOT,MLN_PER,A,1973,0.35045,
LUX,POP,TOT,MLN_PER,A,1974,0.355049,
LUX,POP,TOT,MLN_PER,A,1975,0.358951,
LUX,POP,TOT,MLN_PER,A,1976,0.360728,
LUX,POP,TOT,MLN_PER,A,1977,0.361356,
LUX,POP,TOT,MLN_PER,A,1978,0.36201,
LUX,POP,TOT,MLN_PER,A,1979,0.362856,
LUX,POP,TOT,MLN_PER,A,1980,0.364152,
LUX,POP,TOT,MLN_PER,A,1981,0.365219,
LUX,POP,TOT,MLN_PER,A,1982,0.365525,
LUX,POP,TOT,MLN_PER,A,1983,0.365621,
LUX,POP,TOT,MLN_PER,A,1984,0.365997,
LUX,POP,TOT,MLN_PER,A,1985,0.366707,
LUX,POP,TOT,MLN_PER,A,1986,0.368354,
LUX,POP,TOT,MLN_PER,A,1987,0.370751,
LUX,POP,TOT,MLN_PER,A,1988,0.37345,
LUX,POP,TOT,MLN_PER,A,1989,0.377095,
LUX,POP,TOT,MLN_PER,A,1990,0.381857,
LUX,POP,TOT,MLN_PER,A,1991,0.386999,
LUX,POP,TOT,MLN_PER,A,1992,0.392171,
LUX,POP,TOT,MLN_PER,A,1993,0.397481,
LUX,POP,TOT,MLN_PER,A,1994,0.402921,
LUX,POP,TOT,MLN_PER,A,1995,0.408625,
LUX,POP,TOT,MLN_PER,A,1996,0.414228,
LUX,POP,TOT,MLN_PER,A,1997,0.41944,
LUX,POP,TOT,MLN_PER,A,1998,0.424699,
LUX,POP,TOT,MLN_PER,A,1999,0.430475,
LUX,POP,TOT,MLN_PER,A,2000,0.436303,
LUX,POP,TOT,MLN_PER,A,2001,0.441522,
LUX,POP,TOT,MLN_PER,A,2002,0.446166,
LUX,POP,TOT,MLN_PER,A,2003,0.451626,
LUX,POP,TOT,MLN_PER,A,2004,0.458098,
LUX,POP,TOT,MLN_PER,A,2005,0.465152,
LUX,POP,TOT,MLN_PER,A,2006,0.472641,
LUX,POP,TOT,MLN_PER,A,2007,0.479992,
LUX,POP,TOT,MLN_PER,A,2008,0.488647,
LUX,POP,TOT,MLN_PER,A,2009,0.497783,
LUX,POP,TOT,MLN_PER,A,2010,0.506953,
LUX,POP,TOT,MLN_PER,A,2011,0.518351,
LUX,POP,TOT,MLN_PER,A,2012,0.530952,
LUX,POP,TOT,MLN_PER,A,2013,0.543358,
LUX,POP,TOT,MLN_PER,A,2014,0.556322,
LUX,POP,TOT,MLN_PER,A,2015,0.569605,
LUX,POP,TOT,MLN_PER,A,2016,0.583459,
LUX,POP,TOT,MLN_PER,A,2017,0.596337,
LUX,POP,TOT,MLN_PER,A,2018,0.60795,
LUX,POP,TOT,MLN_PER,A,2019,0.620003,
LUX,POP,TOT,MLN_PER,A,2020,0.630413,
LUX,POP,WOMEN,MLN_PER,A,1950,148.002,
LUX,POP,WOMEN,MLN_PER,A,1951,148.289,
LUX,POP,WOMEN,MLN_PER,A,1952,148.947,
LUX,POP,WOMEN,MLN_PER,A,1953,149.856,
LUX,POP,WOMEN,MLN_PER,A,1954,150.941,
LUX,POP,WOMEN,MLN_PER,A,1955,152.144,
LUX,POP,WOMEN,MLN_PER,A,1956,153.402,
LUX,POP,WOMEN,MLN_PER,A,1957,154.733,
LUX,POP,WOMEN,MLN_PER,A,1958,156.129,
LUX,POP,WOMEN,MLN_PER,A,1959,157.618,
LUX,POP,WOMEN,MLN_PER,A,1960,159.214,
LUX,POP,WOMEN,MLN_PER,A,1961,160.929,
LUX,POP,WOMEN,MLN_PER,A,1962,162.717,
LUX,POP,WOMEN,MLN_PER,A,1963,164.51,
LUX,POP,WOMEN,MLN_PER,A,1964,166.191,
LUX,POP,WOMEN,MLN_PER,A,1965,167.693,
LUX,POP,WOMEN,MLN_PER,A,1966,168.99,
LUX,POP,WOMEN,MLN_PER,A,1967,170.086,
LUX,POP,WOMEN,MLN_PER,A,1968,171.082,
LUX,POP,WOMEN,MLN_PER,A,1969,172.104,
LUX,POP,WOMEN,MLN_PER,A,1970,172.799,
LUX,POP,WOMEN,MLN_PER,A,1971,174.257,
LUX,POP,WOMEN,MLN_PER,A,1972,175.949,
LUX,POP,WOMEN,MLN_PER,A,1973,177.581,
LUX,POP,WOMEN,MLN_PER,A,1974,179.333,
LUX,POP,WOMEN,MLN_PER,A,1975,180.86,
LUX,POP,WOMEN,MLN_PER,A,1976,181.966,
LUX,POP,WOMEN,MLN_PER,A,1977,182.828,
LUX,POP,WOMEN,MLN_PER,A,1978,183.608,
LUX,POP,WOMEN,MLN_PER,A,1979,184.701,
LUX,POP,WOMEN,MLN_PER,A,1980,186.037,
LUX,POP,WOMEN,MLN_PER,A,1981,187.075,
LUX,POP,WOMEN,MLN_PER,A,1982,187.612,
LUX,POP,WOMEN,MLN_PER,A,1983,187.776,
LUX,POP,WOMEN,MLN_PER,A,1984,187.988,
LUX,POP,WOMEN,MLN_PER,A,1985,188.401,
LUX,POP,WOMEN,MLN_PER,A,1986,189.249,
LUX,POP,WOMEN,MLN_PER,A,1987,190.346,
LUX,POP,WOMEN,MLN_PER,A,1988,191.577,
